          1 -- mesa/star zams

     year_month_day_when_created   20170919
                        net_name   'basic.net'
                         species          8
                       initial_z        8.80000000000000E-03
                       initial_y        2.64000000000000E-01

          M/Msun           n_shells
       20.00000000           1164
       -1.00000000             -1

                          M/Msun      1.9999999999999932E+01
                        n_shells       1164

             lnd                      lnT                      lnR                        L                       dq                       h1                      he3                      he4                      c12                      n14                      o16                     ne20                     mg24
   18  -2.0032154814804493E+01   1.0643693298251481E+01   2.6685196163911503E+01   1.9026139289019245E+38   1.2469704663261606E-12   7.2720000000000007E-01   2.8094913236787860E-05   2.6397190508676321E-01   1.5143086687572837E-03   4.4358976060810182E-04   4.1185965080215462E-03   9.2376237786695643E-04   1.7997426847460329E-03
   19  -2.0003964898554987E+01   1.0652013604870502E+01   2.6685162393938143E+01   1.9026139289019151E+38   2.4939409326522825E-12   7.2720000000000007E-01   2.8094913236787860E-05   2.6397190508676321E-01   1.5143086687572835E-03   4.4358976060810166E-04   4.1185965080215471E-03   9.2376237786695654E-04   1.7997426847460331E-03
   20  -1.9967923783075165E+01   1.0662701023992001E+01   2.6685096721556118E+01   1.9026139289018950E+38   2.4939409326522954E-12   7.2720000000000007E-01   2.8094913236787860E-05   2.6397190508676321E-01   1.5143086687572837E-03   4.4358976060810177E-04   4.1185965080215471E-03   9.2376237786695654E-04   1.7997426847460331E-03
   21  -1.9933625521573404E+01   1.0672988967584631E+01   2.6685033361672847E+01   1.9026139289018750E+38   2.4939409326521662E-12   7.2720000000000007E-01   2.8094913236787860E-05   2.6397190508676327E-01   1.5143086687572835E-03   4.4358976060810171E-04   4.1185965080215471E-03   9.2376237786695654E-04   1.7997426847460329E-03
   22  -1.9900879730198479E+01   1.0682896957143113E+01   2.6684972126635202E+01   1.9026139289018550E+38   2.4939409326521662E-12   7.2720000000000007E-01   2.8094913236787857E-05   2.6397190508676327E-01   1.5143086687572835E-03   4.4358976060810171E-04   4.1185965080215471E-03   9.2376237786695643E-04   1.7997426847460329E-03
   23  -1.9866018475782042E+01   1.0693548629854588E+01   2.6684912853598650E+01   1.9026139289018346E+38   3.0747216977904178E-12   7.2720000000000007E-01   2.8094913236787840E-05   2.6397190508676321E-01   1.5143086687572826E-03   4.4358976060810133E-04   4.1185965080215471E-03   9.2376237786695621E-04   1.7997426847460316E-03
   24  -1.9838133748224358E+01   1.0701998762869406E+01   2.6684842267143662E+01   1.9026139289018104E+38   1.5373608488952057E-12   7.2720000000000007E-01   2.8094913236787847E-05   2.6397190508676327E-01   1.5143086687572831E-03   4.4358976060810150E-04   4.1185965080215480E-03   9.2376237786695643E-04   1.7997426847460320E-03
   25  -1.9820175323269147E+01   1.0707500747280728E+01   2.6684807939061688E+01   1.9026139289017980E+38   1.5373608488952057E-12   7.2720000000000007E-01   2.8094913236787850E-05   2.6397190508676327E-01   1.5143086687572829E-03   4.4358976060810144E-04   4.1185965080215480E-03   9.2376237786695643E-04   1.7997426847460320E-03
   26  -1.9794105132376725E+01   1.0715561807007033E+01   2.6684774218513720E+01   1.9026139289017851E+38   3.0747216977905019E-12   7.2720000000000007E-01   2.8094913236787840E-05   2.6397190508676321E-01   1.5143086687572824E-03   4.4358976060810128E-04   4.1185965080215471E-03   9.2376237786695621E-04   1.7997426847460318E-03
   27  -1.9760446330362889E+01   1.0725864169590915E+01   2.6684708503098658E+01   1.9026139289017602E+38   3.0747216977905019E-12   7.2720000000000007E-01   2.8094913236787847E-05   2.6397190508676327E-01   1.5143086687572829E-03   4.4358976060810139E-04   4.1185965080215480E-03   9.2376237786695643E-04   1.7997426847460318E-03
   28  -1.9728116905796728E+01   1.0735737507853418E+01   2.6684644950453109E+01   1.9026139289017352E+38   3.0747216977904308E-12   7.2720000000000007E-01   2.8094913236787840E-05   2.6397190508676321E-01   1.5143086687572826E-03   4.4358976060810133E-04   4.1185965080215471E-03   9.2376237786695621E-04   1.7997426847460316E-03
   29  -1.9696995689136067E+01   1.0745210060934221E+01   2.6684583408023801E+01   1.9026139289017095E+38   3.0747216977904243E-12   7.2720000000000007E-01   2.8094913236787840E-05   2.6397190508676321E-01   1.5143086687572826E-03   4.4358976060810133E-04   4.1185965080215471E-03   9.2376237786695621E-04   1.7997426847460316E-03
   30  -1.9666981266693991E+01   1.0754308706414827E+01   2.6684523740526245E+01   1.9026139289016842E+38   3.0747216977905406E-12   7.2720000000000007E-01   2.8094913236787840E-05   2.6397190508676321E-01   1.5143086687572826E-03   4.4358976060810133E-04   4.1185965080215471E-03   9.2376237786695621E-04   1.7997426847460316E-03
   31  -1.9637988213844228E+01   1.0763058736739190E+01   2.6684465827091476E+01   1.9026139289016582E+38   3.0747216977907151E-12   7.2720000000000007E-01   2.8094913236787840E-05   2.6397190508676321E-01   1.5143086687572826E-03   4.4358976060810133E-04   4.1185965080215471E-03   9.2376237786695621E-04   1.7997426847460316E-03
   32  -1.9609943727077368E+01   1.0771483747850185E+01   2.6684409559000247E+01   1.9026139289016321E+38   3.0747216977903468E-12   7.2720000000000007E-01   2.8094913236787840E-05   2.6397190508676321E-01   1.5143086687572826E-03   4.4358976060810133E-04   4.1185965080215471E-03   9.2376237786695621E-04   1.7997426847460318E-03
   33  -1.9582784598583775E+01   1.0779605520246248E+01   2.6684354837887511E+01   1.9026139289016057E+38   3.0747216977903468E-12   7.2720000000000007E-01   2.8094913236787847E-05   2.6397190508676327E-01   1.5143086687572831E-03   4.4358976060810144E-04   4.1185965080215480E-03   9.2376237786695643E-04   1.7997426847460320E-03
