line time mass lg(L) lg(Teff) 1H_surf 4He_surf 12C_surf 13C_surf 14N_surf 16O_surf 17O_surf 18O_surf 20Ne_surf 22Ne_surf 26Al_surf Mcc/Mt lg(Teff) lg(Md) lg(rhoc) lg(Tc) 1H_cen 4He_cen 12C_cen 13C_cen 14N_cen 16O_cen 17O_cen 18O_cen 20Ne_cen 22Ne_cen 26Al_cen Omeg_surf Omeg_cen Rp/Req Md/Md(0) v_crit1 v_crit2 v_equa Om/Om_cr Gamma_Ed lg(Mdot_mech) L_tot 
21 0.117063737421562E+07 57.599862 5.749250 4.657759 0.7200000E+00 0.2659559E+00 2.2831523E-03 2.7707615E-05 6.5875804E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 1.932E-26 0.6468 4.657759 -5.617 0.387120 7.630260 0.5545699E+00 0.4317446E+00 7.1985335E-05 1.9755345E-05 8.1155622E-03 1.7071997E-04 3.3607813E-07 4.9442892E-10 1.8458889E-03 1.8891813E-06 2.403E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.257682 0.0000000E+00 0.0000000000E+00 
22 0.122059877411114E+07 57.478366 5.751461 4.656334 0.7200000E+00 0.2659559E+00 2.2831522E-03 2.7707668E-05 6.5875804E-04 5.7184752E-03 2.2656013E-06 1.2899741E-05 1.8768898E-03 1.5180834E-04 3.020E-26 0.6432 4.656334 -5.611 0.388480 7.630890 0.5465270E+00 0.4397884E+00 7.1996656E-05 1.9760224E-05 8.1230261E-03 1.6218424E-04 3.1937941E-07 4.6876082E-10 1.8445531E-03 1.9302407E-06 2.342E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.259545 0.0000000E+00 0.0000000000E+00 
23 0.127090680885195E+07 57.354171 5.753669 4.654821 0.7200000E+00 0.2659559E+00 2.2831521E-03 2.7707770E-05 6.5875805E-04 5.7184752E-03 2.2656013E-06 1.2899740E-05 1.8768898E-03 1.5180834E-04 7.252E-26 0.6401 4.654821 -5.604 0.389841 7.631518 0.5383301E+00 0.4479859E+00 7.2223138E-05 1.9823622E-05 8.1288887E-03 1.5511876E-04 3.0385668E-07 4.4785482E-10 1.8431905E-03 1.9711433E-06 2.279E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.261433 0.0000000E+00 0.0000000000E+00 
24 0.131982582824840E+07 57.231581 5.755927 4.653276 0.7200000E+00 0.2659559E+00 2.2831520E-03 2.7707883E-05 6.5875805E-04 5.7184752E-03 2.2656013E-06 1.2899740E-05 1.8768898E-03 1.5180834E-04 1.191E-25 0.6372 4.653276 -5.598 0.391257 7.632149 0.5302645E+00 0.4560520E+00 7.2439960E-05 1.9884326E-05 8.1335267E-03 1.4946628E-04 2.9124647E-07 4.3107056E-10 1.8418481E-03 2.0102087E-06 2.217E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.263358 0.0000000E+00 0.0000000000E+00 
25 0.136842725920791E+07 57.107976 5.758196 4.651643 0.7200000E+00 0.2659559E+00 2.2831519E-03 2.7708003E-05 6.5875806E-04 5.7184752E-03 2.2656013E-06 1.2899740E-05 1.8768898E-03 1.5180834E-04 1.650E-25 0.6342 4.651643 -5.591 0.392674 7.632776 0.5221559E+00 0.4641610E+00 7.2740093E-05 1.9971538E-05 8.1371470E-03 1.4483232E-04 2.7951218E-07 4.1638073E-10 1.8404968E-03 2.0484232E-06 2.155E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.265311 0.0000000E+00 0.0000000000E+00 
26 0.141656155205110E+07 56.983751 5.760464 4.649979 0.7200000E+00 0.2659559E+00 2.2831518E-03 2.7708154E-05 6.5875807E-04 5.7184752E-03 2.2656013E-06 1.2899740E-05 1.8768898E-03 1.5180834E-04 2.482E-25 0.6313 4.649979 -5.585 0.394269 7.633457 0.5140318E+00 0.4722855E+00 7.2832995E-05 1.9994376E-05 8.1403368E-03 1.4104181E-04 2.7220203E-07 4.0599958E-10 1.8391410E-03 2.0842759E-06 2.092E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.267282 0.0000000E+00 0.0000000000E+00 
27 0.146436551151203E+07 56.858570 5.762736 4.648206 0.7200000E+00 0.2659559E+00 2.2831516E-03 2.7708362E-05 6.5875808E-04 5.7184752E-03 2.2656013E-06 1.2899740E-05 1.8768898E-03 1.5180834E-04 4.008E-25 0.6284 4.648206 -5.579 0.395846 7.634127 0.5058740E+00 0.4804434E+00 7.3038820E-05 2.0052098E-05 8.1427681E-03 1.3792471E-04 2.6478099E-07 3.9662453E-10 1.8377775E-03 2.1202394E-06 2.030E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.269275 0.0000000E+00 0.0000000000E+00 
28 0.151084115325241E+07 56.735103 5.764822 4.646461 0.7200000E+00 0.2659559E+00 2.2831514E-03 2.7708618E-05 6.5875809E-04 5.7184752E-03 2.2656013E-06 1.2899740E-05 1.8768898E-03 1.5180834E-04 6.452E-25 0.6259 4.646461 -5.573 0.397395 7.634788 0.4978472E+00 0.4884703E+00 7.3238178E-05 2.0108131E-05 8.1446871E-03 1.3540274E-04 2.5858393E-07 3.8898185E-10 1.8364338E-03 2.1547738E-06 1.969E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.271160 0.0000000E+00 0.0000000000E+00 
29 0.155785106865479E+07 56.608400 5.767081 4.644620 0.7200000E+00 0.2659559E+00 2.2831511E-03 2.7708958E-05 6.5875811E-04 5.7184752E-03 2.2656014E-06 1.2899740E-05 1.8768898E-03 1.5180834E-04 1.071E-24 0.6222 4.644620 -5.566 0.399017 7.635476 0.4896252E+00 0.4966924E+00 7.3442641E-05 2.0165523E-05 8.1462565E-03 1.3327106E-04 2.5313752E-07 3.8245648E-10 1.8350550E-03 2.1895266E-06 1.908E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.273185 0.0000000E+00 0.0000000000E+00 
30 0.160355752731191E+07 56.483466 5.769352 4.642724 0.7200000E+00 0.2659559E+00 2.2831507E-03 2.7709336E-05 6.5875813E-04 5.7184752E-03 2.2656014E-06 1.2899740E-05 1.8768898E-03 1.5180834E-04 1.582E-24 0.6195 4.642724 -5.560 0.400730 7.636173 0.4815408E+00 0.5047768E+00 7.3645267E-05 2.0222531E-05 8.1474825E-03 1.3153413E-04 2.4841379E-07 3.7696160E-10 1.8336969E-03 2.2229429E-06 1.849E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.275224 0.0000000E+00 0.0000000000E+00 
31 0.164888851716420E+07 56.357845 5.771581 4.640753 0.7200000E+00 0.2659559E+00 2.2831502E-03 2.7709883E-05 6.5875816E-04 5.7184752E-03 2.2656014E-06 1.2899739E-05 1.8768898E-03 1.5180834E-04 2.798E-24 0.6168 4.640753 -5.554 0.402352 7.636845 0.4734382E+00 0.5128795E+00 7.4104421E-05 2.0351799E-05 8.1480844E-03 1.3008061E-04 2.4256642E-07 3.7228261E-10 1.8323333E-03 2.2558263E-06 1.791E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.277257 0.0000000E+00 0.0000000000E+00 
32 0.169376619711797E+07 56.231739 5.773676 4.638872 0.7200000E+00 0.2659559E+00 2.2831496E-03 2.7710488E-05 6.5875819E-04 5.7184752E-03 2.2656014E-06 1.2899739E-05 1.8768898E-03 1.5180834E-04 4.144E-24 0.6135 4.638872 -5.549 0.404159 7.637588 0.4653092E+00 0.5210084E+00 7.4017176E-05 2.0326849E-05 8.1492861E-03 1.2885561E-04 2.4110786E-07 3.6877315E-10 1.8309626E-03 2.2871377E-06 1.734E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.279223 0.0000000E+00 0.0000000000E+00 
33 0.173827588009611E+07 56.104961 5.775965 4.636811 0.7200000E+00 0.2659559E+00 2.2831489E-03 2.7711309E-05 6.5875823E-04 5.7184752E-03 2.2656014E-06 1.2899738E-05 1.8768898E-03 1.5180834E-04 7.189E-24 0.6108 4.636811 -5.543 0.406018 7.638318 0.4571510E+00 0.5291665E+00 7.4221706E-05 2.0384273E-05 8.1499001E-03 1.2781373E-04 2.3786729E-07 3.6543592E-10 1.8295844E-03 2.3195372E-06 1.679E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.281332 0.0000000E+00 0.0000000000E+00 
34 0.178154074598770E+07 55.980113 5.778218 4.634715 0.7200000E+00 0.2659559E+00 2.2831481E-03 2.7712234E-05 6.5875828E-04 5.7184752E-03 2.2656015E-06 1.2899738E-05 1.8768898E-03 1.5180834E-04 1.093E-23 0.6082 4.634715 -5.537 0.407906 7.639050 0.4491409E+00 0.5371765E+00 7.4423423E-05 2.0440877E-05 8.1503725E-03 1.2693806E-04 2.3499654E-07 3.6260381E-10 1.8282286E-03 2.3509291E-06 1.625E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.283427 0.0000000E+00 0.0000000000E+00 
35 0.182533182780824E+07 55.852078 5.780281 4.632593 0.7200000E+00 0.2659559E+00 2.2831471E-03 2.7713313E-05 6.5875833E-04 5.7184752E-03 2.2656015E-06 1.2899737E-05 1.8768898E-03 1.5180834E-04 1.626E-23 0.6050 4.632593 -5.531 0.409743 7.639791 0.4409334E+00 0.5453839E+00 7.4628264E-05 2.0498531E-05 8.1507529E-03 1.2616176E-04 2.3230447E-07 3.6004799E-10 1.8268365E-03 2.3830028E-06 1.572E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.285429 0.0000000E+00 0.0000000000E+00 
36 0.186781410345095E+07 55.726272 5.782545 4.630237 0.7200000E+00 0.2659559E+00 2.2831457E-03 2.7714791E-05 6.5875841E-04 5.7184752E-03 2.2656015E-06 1.2899736E-05 1.8768898E-03 1.5180834E-04 2.783E-23 0.6024 4.630237 -5.526 0.411735 7.640546 0.4328692E+00 0.5534480E+00 7.4835152E-05 2.0556606E-05 8.1510351E-03 1.2549439E-04 2.2983280E-07 3.5781149E-10 1.8254659E-03 2.4147007E-06 1.522E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.287569 0.0000000E+00 0.0000000000E+00 
37 0.190995777497783E+07 55.599954 5.784810 4.627838 0.7200000E+00 0.2659559E+00 2.2831443E-03 2.7716384E-05 6.5875849E-04 5.7184752E-03 2.2656016E-06 1.2899735E-05 1.8768898E-03 1.5180834E-04 4.005E-23 0.5999 4.627838 -5.520 0.413771 7.641312 0.4247926E+00 0.5615244E+00 7.5045073E-05 2.0615552E-05 8.1512470E-03 1.2490212E-04 2.2747149E-07 3.5574420E-10 1.8240903E-03 2.4463424E-06 1.472E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.289729 0.0000000E+00 0.0000000000E+00 
38 0.195168000978945E+07 55.473362 5.786851 4.625520 0.7199999E+00 0.2659559E+00 2.2831424E-03 2.7718411E-05 6.5875860E-04 5.7184752E-03 2.2656017E-06 1.2899734E-05 1.8768898E-03 1.5180834E-04 6.551E-23 0.5968 4.625520 -5.516 0.415712 7.642072 0.4166932E+00 0.5696237E+00 7.5254819E-05 2.0674611E-05 8.1514074E-03 1.2436867E-04 2.2526290E-07 3.5389063E-10 1.8227079E-03 2.4784655E-06 1.424E-05 0.000E+00 0.000E+00 1.000E+00 1.000E+00 0.00E+00 0.00E+00 0.00E+00 0.000000 0.291758 0.0000000E+00 0.0000000000E+00 
