          1 -- mesa/star zams

     year_month_day_when_created   20170124
                        net_name   'basic.net'
                         species          8
                       initial_z        1.90000000000000E-02
                       initial_y        2.78000000000000E-01

          M/Msun           n_shells
       20.00000000           1191
       -1.00000000             -1

                          M/Msun      1.9999999999999932E+01
                        n_shells       1191

             lnd                      lnT                      lnR                        L                       dq                       h1                      he3                      he4                      c12                      n14                      o16                     ne20                     mg24
   22  -1.9975793785440430E+01   1.0648097052277977E+01   2.6722978494920572E+01   1.7413638487041639E+38   1.8057212039345664E-12   7.0299999999999996E-01   2.9584794999344777E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380407E-03
   23  -1.9944199991915948E+01   1.0658710077439858E+01   2.6722937225642113E+01   1.7413638487041575E+38   3.6114424078691521E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
   24  -1.9903844859659664E+01   1.0672167416589719E+01   2.6722857239481399E+01   1.7413638487041447E+38   3.6114424078691586E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
   25  -1.9865550221237562E+01   1.0684960740860602E+01   2.6722780398836033E+01   1.7413638487041318E+38   3.6114424078691521E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
   26  -1.9837877655263846E+01   1.0694108655325584E+01   2.6722706428413698E+01   1.7413638487041190E+38   1.8057212039345728E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
   27  -1.9820059269352427E+01   1.0700052475755996E+01   2.6722670446712886E+01   1.7413638487041125E+38   1.8057212039345728E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
   28  -1.9790364631724689E+01   1.0710073518323513E+01   2.6722635096687522E+01   1.7413638487041061E+38   4.4448521943005301E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
   29  -1.9749551503723996E+01   1.0723550915607575E+01   2.6722550611960926E+01   1.7413638487040906E+38   4.4448521943006788E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
   30  -1.9710626119007152E+01   1.0736298042529995E+01   2.6722469485753678E+01   1.7413638487040748E+38   4.4448521943004074E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
   31  -1.9682385380061678E+01   1.0745374281393342E+01   2.6722391438111881E+01   1.7413638487040589E+38   2.2224260971502037E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
   32  -1.9664171124871771E+01   1.0751261156580048E+01   2.6722353494335248E+01   1.7413638487040510E+38   2.2224260971502037E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
   33  -1.9637697177095792E+01   1.0759856056447179E+01   2.6722316231216755E+01   1.7413638487040434E+38   4.4448521943004074E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
   34  -1.9603396196269582E+01   1.0770777194927469E+01   2.6722243640135275E+01   1.7413638487040272E+38   4.4448521943004074E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
   35  -1.9570384268909308E+01   1.0781192931223142E+01   2.6722173481758404E+01   1.7413638487040113E+38   4.4448521943004074E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
   36  -1.9538564137800478E+01   1.0791145956063726E+01   2.6722105587575133E+01   1.7413638487039951E+38   4.4448521943004074E-12   7.0299999999999996E-01   2.9584794999344774E-05   2.7797041520500071E-01   3.2695300802714194E-03   9.5775061949476825E-04   8.8924242786829234E-03   1.9944869522127550E-03   3.8858080693380402E-03
