          1 -- mesa/star zams

     year_month_day_when_created   20171107
                        net_name   'basic.net'
                         species          8
                       initial_z        1.40000000000000E-02
                       initial_y        2.66000000000000E-01

          M/Msun           n_shells
       12.58925412           1140
       -1.00000000             -1

                          M/Msun      1.2589254117941675E+01
                        n_shells       1140

             lnd                      lnT                      lnR                        L                       dq                       h1                      he3                      he4                      c12                      n14                      o16                     ne20                     mg24
   17  -1.9791658865353387E+01   1.0415774697591207E+01   2.6429031839711445E+01   4.7116226808171030E+37   1.2283949055859995E-12   7.1999999999999997E-01   2.8307753488581691E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979815E-03   1.4696219647883544E-03   2.8632269984596257E-03
   18  -1.9771675070278071E+01   1.0422038149031859E+01   2.6428996334681333E+01   4.7116226808170955E+37   6.1419745279300138E-13   7.1999999999999997E-01   2.8307753488581691E-05   2.6597169224651135E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979815E-03   1.4696219647883542E-03   2.8632269984596257E-03
   19  -1.9758761906620339E+01   1.0426174294296455E+01   2.6428978932026595E+01   4.7116226808170917E+37   6.1419745279299815E-13   7.1999999999999997E-01   2.8307753488581687E-05   2.6597169224651135E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979806E-03   1.4696219647883542E-03   2.8632269984596257E-03
   20  -1.9739975659612711E+01   1.0432319501884020E+01   2.6428961751759271E+01   4.7116226808170879E+37   1.2283949055860028E-12   7.1999999999999997E-01   2.8307753488581691E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979815E-03   1.4696219647883542E-03   2.8632269984596257E-03
   21  -1.9715908071582035E+01   1.0440382015033402E+01   2.6428928028129700E+01   4.7116226808170804E+37   1.2283949055860028E-12   7.1999999999999997E-01   2.8307753488581691E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979806E-03   1.4696219647883542E-03   2.8632269984596257E-03
   22  -1.9681854357834755E+01   1.0452245393814469E+01   2.6428895103165818E+01   4.7116226808170719E+37   2.4567898111720217E-12   7.1999999999999997E-01   2.8307753488581691E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979806E-03   1.4696219647883542E-03   2.8632269984596257E-03
   23  -1.9649842233665566E+01   1.0463751576213356E+01   2.6428831448699949E+01   4.7116226808170558E+37   1.2283949055859963E-12   7.1999999999999997E-01   2.8307753488581691E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979806E-03   1.4696219647883542E-03   2.8632269984596257E-03
   24  -1.9629638227138685E+01   1.0471277468467170E+01   2.6428800619820137E+01   4.7116226808170473E+37   1.2283949055859963E-12   7.1999999999999997E-01   2.8307753488581691E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979806E-03   1.4696219647883542E-03   2.8632269984596257E-03
   25  -1.9600884664008344E+01   1.0482353506584385E+01   2.6428770404790630E+01   4.7116226808170388E+37   2.4567898111720411E-12   7.1999999999999997E-01   2.8307753488581691E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979806E-03   1.4696219647883542E-03   2.8632269984596257E-03
   26  -1.9564970415697996E+01   1.0496652099640080E+01   2.6428711679734118E+01   4.7116226808170228E+37   2.4567898111720475E-12   7.1999999999999997E-01   2.8307753488581691E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979806E-03   1.4696219647883542E-03   2.8632269984596257E-03
   27  -1.9531594650922365E+01   1.0510474397160863E+01   2.6428655016513886E+01   4.7116226808170058E+37   2.4567898111719861E-12   7.1999999999999997E-01   2.8307753488581691E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979806E-03   1.4696219647883542E-03   2.8632269984596257E-03
   28  -1.9507973801608816E+01   1.0520514032217195E+01   2.6428600204095790E+01   4.7116226808169888E+37   1.2283949055859963E-12   7.1999999999999997E-01   2.8307753488581691E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979806E-03   1.4696219647883542E-03   2.8632269984596257E-03
   29  -1.9492899252294684E+01   1.0527084025087158E+01   2.6428573434383235E+01   4.7116226808169803E+37   1.2283949055859898E-12   7.1999999999999997E-01   2.8307753488581691E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979806E-03   1.4696219647883542E-03   2.8632269984596257E-03
   30  -1.9471145790006148E+01   1.0536786456753154E+01   2.6428547063083638E+01   4.7116226808169718E+37   2.4681114232050493E-12   7.1999999999999997E-01   2.8307753488581691E-05   2.6597169224651140E-01   2.4091274275684286E-03   7.0571098278562287E-04   6.5523126263979806E-03   1.4696219647883542E-03   2.8632269984596257E-03
